era,year,month,product,sector,n_cells,hfr_mean,hfr_std,hfr_median,hfi_mean,hfi_std,hfi_median,hs_mean,hs_std,hs_median,hsc_mean,hsc_std,hsc_median
ENV,2003,5,CCI_ENV,Western_Weddell,524,0.07956799864768982,0.06297685950994492,0.06730557978153229,0.15540774166584015,0.07553238421678543,0.15039284527301788,0.3173872232437134,0.11874087899923325,0.3112660348415375,0.07583975046873093,0.028219126164913177,0.07480078935623169
ENV,2003,5,CCI_ENV,Eastern_Weddell,910,0.049387264996767044,0.05001291632652283,0.036598097532987595,0.08444605767726898,0.05402395501732826,0.07132168114185333,0.1464041769504547,0.046987466514110565,0.13550788164138794,0.03505878895521164,0.011268875561654568,0.032256606966257095
ENV,2003,5,CCI_ENV,Indian,330,0.07192817330360413,0.09842441231012344,0.03817126154899597,0.09426406770944595,0.09840036928653717,0.06217841058969498,0.0932702049612999,0.013436620123684406,0.09212981164455414,0.022335892543196678,0.0032707664649933577,0.022113487124443054
ENV,2003,5,CCI_ENV,Western_Pacific,385,0.08232451230287552,0.10486544668674469,0.050840139389038086,0.1109066754579544,0.10733818262815475,0.07977911829948425,0.11932456493377686,0.04227031022310257,0.10369289666414261,0.02858215756714344,0.01012678723782301,0.02511279657483101
ENV,2003,5,CCI_ENV,Ross,1044,0.07147789746522903,0.08612985908985138,0.04141894355416298,0.10401574522256851,0.088001549243927,0.07376526296138763,0.13627809286117554,0.028580443933606148,0.1343967616558075,0.03253784775733948,0.006610504351556301,0.032145027071237564
ENV,2003,5,CCI_ENV,Amundsen_Bellingshausen,371,0.09622959792613983,0.11779077351093292,0.055685609579086304,0.1323421746492386,0.12140226364135742,0.09057849645614624,0.15055058896541595,0.03635012358427048,0.14766845107078552,0.036112572997808456,0.00940485019236803,0.03499577194452286
ENV,2003,5,LEGOS_ENV,Western_Weddell,524,0.1161007434129715,0.07031354308128357,0.10978969931602478,0.16814811527729034,0.07446610927581787,0.16446414589881897,0.2639175057411194,0.11711318790912628,0.2870056629180908,0.05354614555835724,0.02376106008887291,0.05823050066828728
ENV,2003,5,LEGOS_ENV,Eastern_Weddell,910,0.09413119405508041,0.07113232463598251,0.08730680495500565,0.11666034907102585,0.07304764539003372,0.10849914699792862,0.11787960678339005,0.087336465716362,0.08667433261871338,0.023916561156511307,0.01771967113018036,0.017585329711437225
ENV,2003,5,LEGOS_ENV,Indian,330,0.10108689963817596,0.09813710302114487,0.07928205281496048,0.1074671819806099,0.0994327962398529,0.08655211329460144,0.028477683663368225,0.013559700921177864,0.026615092530846596,0.005777829792350531,0.0027511240914463997,0.005399927496910095
ENV,2003,5,LEGOS_ENV,Western_Pacific,385,0.11558875441551208,0.11300762742757797,0.09507496654987335,0.12158356606960297,0.11501099169254303,0.10208885371685028,0.05433806777000427,0.05603752285242081,0.032460518181324005,0.01102463435381651,0.011369437910616398,0.006585903465747833
ENV,2003,5,LEGOS_ENV,Ross,1044,0.09990368038415909,0.0785260945558548,0.08700002729892731,0.1166347786784172,0.0764964297413826,0.1064147800207138,0.0955071747303009,0.059588171541690826,0.08451471477746964,0.01937742531299591,0.012089827097952366,0.017147168517112732
ENV,2003,5,LEGOS_ENV,Amundsen_Bellingshausen,371,0.0941443219780922,0.0925050899386406,0.07839606702327728,0.1043696254491806,0.08700208365917206,0.09067361801862717,0.07654321938753128,0.07496052980422974,0.04774553328752518,0.015529831871390343,0.015208720229566097,0.009687080979347229
ENV,2003,6,CCI_ENV,Western_Weddell,561,0.09720248728990555,0.07922380417585373,0.07927024364471436,0.1747114658355713,0.0954197496175766,0.16122853755950928,0.32549792528152466,0.12075670063495636,0.3321564793586731,0.07750897854566574,0.02898515947163105,0.07928243279457092
ENV,2003,6,CCI_ENV,Eastern_Weddell,1324,0.04041692242026329,0.04768979549407959,0.029459089040756226,0.07988729327917099,0.054259445518255234,0.0666780024766922,0.1654738187789917,0.059016868472099304,0.15648651123046875,0.0394703708589077,0.013994292356073856,0.03724154084920883
ENV,2003,6,CCI_ENV,Indian,554,0.05812152475118637,0.06908921897411346,0.040633805096149445,0.08315989375114441,0.06875522434711456,0.06417959928512573,0.10485401004552841,0.016151687130331993,0.10549487173557281,0.02503836154937744,0.0038430499844253063,0.02536463737487793
ENV,2003,6,CCI_ENV,Western_Pacific,506,0.06978943198919296,0.1001935750246048,0.042479611933231354,0.10141219198703766,0.1020781621336937,0.07446394115686417,0.13169816136360168,0.04523276910185814,0.1164865791797638,0.0316227562725544,0.010879275389015675,0.027959121391177177
ENV,2003,6,CCI_ENV,Ross,1187,0.06828693300485611,0.0811852216720581,0.043612558394670486,0.10585487633943558,0.08234340697526932,0.08305973559617996,0.15786150097846985,0.03743886947631836,0.1597825288772583,0.03756794333457947,0.008954274468123913,0.03824969753623009
ENV,2003,6,CCI_ENV,Amundsen_Bellingshausen,564,0.08112799376249313,0.09431862831115723,0.05336499959230423,0.12171067297458649,0.09612423181533813,0.09319383651018143,0.16907161474227905,0.04153353348374367,0.16735729575157166,0.040582671761512756,0.00975543912500143,0.04044092446565628
ENV,2003,6,LEGOS_ENV,Western_Weddell,561,0.12784907221794128,0.06727557629346848,0.12129775434732437,0.17869262397289276,0.08145084977149963,0.16928426921367645,0.23207637667655945,0.11754707992076874,0.24406246840953827,0.050676681101322174,0.0256678257137537,0.05329398810863495
ENV,2003,6,LEGOS_ENV,Eastern_Weddell,1324,0.09549664705991745,0.05458061024546623,0.09050512313842773,0.12220623344182968,0.06300486624240875,0.11432834714651108,0.1234598457813263,0.09109232574701309,0.1016291156411171,0.026958948001265526,0.019891107454895973,0.02219194918870926
ENV,2003,6,LEGOS_ENV,Indian,554,0.08822999149560928,0.08442335575819016,0.0749228447675705,0.09318885952234268,0.08432697504758835,0.08035863935947418,0.03178141266107559,0.02068859338760376,0.028810737654566765,0.00693985540419817,0.0045176041312515736,0.0062911733984947205
ENV,2003,6,LEGOS_ENV,Western_Pacific,506,0.10931695252656937,0.1123352199792862,0.08690664917230606,0.11835898458957672,0.10932298749685287,0.09757673740386963,0.06480472534894943,0.048353444784879684,0.053511857986450195,0.014150895178318024,0.01055855955928564,0.01168496161699295
ENV,2003,6,LEGOS_ENV,Ross,1187,0.10183458030223846,0.07006076723337173,0.09088736772537231,0.12144500762224197,0.07046474516391754,0.11063791811466217,0.09665441513061523,0.04568999633193016,0.09181389212608337,0.021105660125613213,0.009976962581276894,0.02004867047071457
ENV,2003,6,LEGOS_ENV,Amundsen_Bellingshausen,564,0.106484055519104,0.08357317000627518,0.09366795420646667,0.12709620594978333,0.08134672045707703,0.11915232986211777,0.11364082992076874,0.0897407978773117,0.08412029594182968,0.024814849719405174,0.01959598809480667,0.018368683755397797
ENV,2003,7,CCI_ENV,Western_Weddell,577,0.10857118666172028,0.08966382592916489,0.08837420493364334,0.1840658187866211,0.10358189791440964,0.16780947148799896,0.3161281645298004,0.12100029736757278,0.33141475915908813,0.07549463212490082,0.028845665976405144,0.078563392162323
ENV,2003,7,CCI_ENV,Eastern_Weddell,1566,0.04425625503063202,0.04593892768025398,0.02971605956554413,0.08776117116212845,0.05448497086763382,0.07027468085289001,0.18209092319011688,0.06244552135467529,0.16868704557418823,0.04350491240620613,0.01477618794888258,0.04034998267889023
ENV,2003,7,CCI_ENV,Indian,924,0.04911678284406662,0.06068761646747589,0.030958909541368484,0.07620369642972946,0.060542598366737366,0.05791540443897247,0.11311782896518707,0.01943887025117874,0.11143646389245987,0.027086922898888588,0.004689445253461599,0.02679486572742462
ENV,2003,7,CCI_ENV,Western_Pacific,522,0.08249566704034805,0.0885387733578682,0.059080637991428375,0.1152392104268074,0.08972658962011337,0.09138359129428864,0.1368875652551651,0.04440997168421745,0.1250176578760147,0.03274354711174965,0.010657873004674911,0.030103130266070366
ENV,2003,7,CCI_ENV,Ross,1310,0.0629628598690033,0.06646590679883957,0.04667440801858902,0.10780354589223862,0.06738099455833435,0.09437834471464157,0.1869899183511734,0.048429764807224274,0.19707132875919342,0.044840678572654724,0.011406634002923965,0.04736936092376709
ENV,2003,7,CCI_ENV,Amundsen_Bellingshausen,683,0.08676771819591522,0.10235551744699478,0.05646778270602226,0.13411451876163483,0.10344216972589493,0.10637808591127396,0.19734801352024078,0.04838523641228676,0.19139766693115234,0.04734678938984871,0.01156681403517723,0.04684166610240936
ENV,2003,7,LEGOS_ENV,Western_Weddell,577,0.13507209718227386,0.07254716753959656,0.13306114077568054,0.1828969419002533,0.08399251103401184,0.1801452487707138,0.22118571400642395,0.10809218883514404,0.22845208644866943,0.04829857498407364,0.023603234440088272,0.04988526552915573
ENV,2003,7,LEGOS_ENV,Eastern_Weddell,1566,0.09719651192426682,0.050234995782375336,0.09277282655239105,0.12996116280555725,0.06028475612401962,0.12418539822101593,0.1522451788187027,0.0875050276517868,0.12258441746234894,0.033244576305150986,0.01910777948796749,0.026767782866954803
ENV,2003,7,LEGOS_ENV,Indian,924,0.0819697454571724,0.07261170446872711,0.07236923277378082,0.09034018963575363,0.0676167830824852,0.0822632908821106,0.051130782812833786,0.03158029168844223,0.04693896323442459,0.01116502471268177,0.006895938888192177,0.010249687358736992
ENV,2003,7,LEGOS_ENV,Western_Pacific,522,0.11236676573753357,0.10216735303401947,0.09246276319026947,0.12685149908065796,0.09676679223775864,0.1109287291765213,0.08522232621908188,0.05902770906686783,0.06700227409601212,0.01860932447016239,0.01288941316306591,0.0146307572722435
ENV,2003,7,LEGOS_ENV,Ross,1310,0.10141009837388992,0.06392605602741241,0.09455835819244385,0.12855984270572662,0.06578201055526733,0.12158633768558502,0.12865565717220306,0.05565779656171799,0.12937086820602417,0.02809351496398449,0.01215355284512043,0.028249695897102356
ENV,2003,7,LEGOS_ENV,Amundsen_Bellingshausen,683,0.10998748242855072,0.09263599663972855,0.09049011766910553,0.1339707374572754,0.08868751674890518,0.11889419704675674,0.12347497791051865,0.07934344559907913,0.1086883544921875,0.02696225419640541,0.01732560060918331,0.023733418434858322
ENV,2003,8,CCI_ENV,Western_Weddell,536,0.10123425722122192,0.08138693869113922,0.07517331838607788,0.17518211901187897,0.09242309629917145,0.15344561636447906,0.31043940782546997,0.11339397728443146,0.3356691598892212,0.07394786179065704,0.027008455246686935,0.0796763151884079
ENV,2003,8,CCI_ENV,Eastern_Weddell,1640,0.058803901076316833,0.06298903375864029,0.037803392857313156,0.1049581915140152,0.07503390312194824,0.07951180636882782,0.19348177313804626,0.072110615670681,0.17280109226703644,0.046154290437698364,0.01712450385093689,0.04128631204366684
ENV,2003,8,CCI_ENV,Indian,1094,0.04397165775299072,0.054759230464696884,0.029910407960414886,0.07176219671964645,0.054369669407606125,0.05745051056146622,0.11634949594736099,0.018141355365514755,0.11513391137123108,0.027790537104010582,0.004419730976223946,0.027535483241081238
ENV,2003,8,CCI_ENV,Western_Pacific,542,0.09296595305204391,0.10949710011482239,0.0542852059006691,0.12522080540657043,0.11239320039749146,0.08692951500415802,0.13484160602092743,0.043705567717552185,0.12604036927223206,0.03225484490394592,0.010701479390263557,0.02991371415555477
ENV,2003,8,CCI_ENV,Ross,1251,0.07010170817375183,0.07121628522872925,0.05315009132027626,0.11838530004024506,0.07209351658821106,0.10535465180873871,0.20268680155277252,0.059374358505010605,0.21814656257629395,0.04828358814120293,0.014132344163954258,0.0519862025976181
ENV,2003,8,CCI_ENV,Amundsen_Bellingshausen,846,0.06773823499679565,0.0772562325000763,0.044320009648799896,0.11173225939273834,0.07974473387002945,0.09077954292297363,0.18342064321041107,0.05141950771212578,0.17868079245090485,0.04399402439594269,0.012294914573431015,0.04325532168149948
ENV,2003,8,LEGOS_ENV,Western_Weddell,536,0.12911787629127502,0.0773048847913742,0.1180947795510292,0.17853733897209167,0.08738710731267929,0.1659795343875885,0.21269826591014862,0.10110640525817871,0.2067820429801941,0.04644523933529854,0.022077806293964386,0.045153357088565826
ENV,2003,8,LEGOS_ENV,Eastern_Weddell,1640,0.09386271983385086,0.06069879233837128,0.08765164017677307,0.1288171410560608,0.07151568681001663,0.11833221465349197,0.16186891496181488,0.09376738965511322,0.1305665373802185,0.03534603491425514,0.020475242286920547,0.02851078286767006
ENV,2003,8,LEGOS_ENV,Indian,1094,0.08116059750318527,0.0706939622759819,0.07308924198150635,0.09176501631736755,0.0681629627943039,0.08574610203504562,0.056535642594099045,0.026048194617033005,0.057785969227552414,0.012345240451395512,0.005687938071787357,0.012618262320756912
ENV,2003,8,LEGOS_ENV,Western_Pacific,542,0.12311645597219467,0.1111827939748764,0.09667783975601196,0.1360889971256256,0.10759627819061279,0.11035528779029846,0.08092320710420609,0.06211033836007118,0.06694923341274261,0.017670562490820885,0.013562542386353016,0.014619171619415283
ENV,2003,8,LEGOS_ENV,Ross,1251,0.1061522364616394,0.07079030573368073,0.10120076686143875,0.13665565848350525,0.06592648476362228,0.13503365218639374,0.14597557485103607,0.07447119802236557,0.1419287621974945,0.03187553584575653,0.016261685639619827,0.030991867184638977
ENV,2003,8,LEGOS_ENV,Amundsen_Bellingshausen,846,0.10580805689096451,0.07901162654161453,0.09455660730600357,0.12764137983322144,0.07493244111537933,0.11989867687225342,0.11653681844472885,0.06647039204835892,0.11993345618247986,0.025447223335504532,0.014514612965285778,0.02618892304599285
ENV,2003,9,CCI_ENV,Western_Weddell,504,0.09957501292228699,0.08970705419778824,0.06816411018371582,0.16528280079364777,0.09926997125148773,0.13436269760131836,0.27475032210350037,0.09329165518283844,0.29928791522979736,0.06570778042078018,0.022363048046827316,0.0714583694934845
ENV,2003,9,CCI_ENV,Eastern_Weddell,1673,0.07891137897968292,0.07912939786911011,0.050870154052972794,0.12229073792695999,0.08925651013851166,0.09181089699268341,0.18192058801651,0.06077693775296211,0.16715873777866364,0.043379370123147964,0.01444358192384243,0.03983328491449356
ENV,2003,9,CCI_ENV,Indian,1197,0.04443182796239853,0.055065274238586426,0.03207295387983322,0.07215185463428497,0.055040519684553146,0.061208292841911316,0.11614622175693512,0.021654801443219185,0.11401695013046265,0.027720024809241295,0.00524680083617568,0.027347158640623093
ENV,2003,9,CCI_ENV,Western_Pacific,510,0.08610544353723526,0.10381054133176804,0.0489690825343132,0.11724898964166641,0.10611038655042648,0.083367258310318,0.13061222434043884,0.040323011577129364,0.12290005385875702,0.0311435554176569,0.009492145851254463,0.02919600158929825
ENV,2003,9,CCI_ENV,Ross,1097,0.08216588199138641,0.07725823670625687,0.06643982976675034,0.12677951157093048,0.07878243923187256,0.11402375996112823,0.18727974593639374,0.05470640957355499,0.20376071333885193,0.04461361840367317,0.013034699484705925,0.048439159989356995
ENV,2003,9,CCI_ENV,Amundsen_Bellingshausen,895,0.07448151707649231,0.08299002796411514,0.053017180413007736,0.11972707509994507,0.08545669913291931,0.09781508892774582,0.188919335603714,0.04704616218805313,0.19203874468803406,0.04524555802345276,0.011228451505303383,0.04601431265473366
ENV,2003,9,LEGOS_ENV,Western_Weddell,504,0.1231217011809349,0.0806138888001442,0.10918886959552765,0.1605294644832611,0.09257914870977402,0.1402330994606018,0.1711401641368866,0.08330503851175308,0.16477341949939728,0.03737051784992218,0.018190661445260048,0.03598026931285858
ENV,2003,9,LEGOS_ENV,Eastern_Weddell,1673,0.1016080379486084,0.07180360704660416,0.09301473945379257,0.13451871275901794,0.07979365438222885,0.12159775197505951,0.15238675475120544,0.07900477945804596,0.13602373003959656,0.03327548876404762,0.017251648008823395,0.029702425003051758
ENV,2003,9,LEGOS_ENV,Indian,1197,0.08049546927213669,0.08329563587903976,0.07059863209724426,0.09206216782331467,0.0791204571723938,0.08617016673088074,0.062155548483133316,0.03669923543930054,0.05635076016187668,0.013572415336966515,0.00801372155547142,0.012304877862334251
ENV,2003,9,LEGOS_ENV,Western_Pacific,510,0.10944847017526627,0.12056034058332443,0.07984237372875214,0.12345289438962936,0.12251075357198715,0.09423976391553879,0.07758926600217819,0.062125418335199356,0.06047734245657921,0.016942553222179413,0.013565835542976856,0.013205958530306816
ENV,2003,9,LEGOS_ENV,Ross,1097,0.10513873398303986,0.07441828399896622,0.09675448387861252,0.13660691678524017,0.0801108330488205,0.12841862440109253,0.1429116278886795,0.0939422994852066,0.12710851430892944,0.031206481158733368,0.020513435825705528,0.027755675837397575
ENV,2003,9,LEGOS_ENV,Amundsen_Bellingshausen,895,0.09960611909627914,0.08357856422662735,0.08790994435548782,0.12788701057434082,0.08085237443447113,0.11775049567222595,0.14395833015441895,0.07268762588500977,0.14852774143218994,0.0314350426197052,0.015872221440076828,0.032432831823825836
ENV,2003,10,CCI_ENV,Western_Weddell,479,0.07165494561195374,0.06565912067890167,0.05596392601728439,0.12948693335056305,0.07104069739580154,0.11153644323348999,0.2413174957036972,0.07672954350709915,0.252194881439209,0.05783196911215782,0.01851579360663891,0.06064692512154579
ENV,2003,10,CCI_ENV,Eastern_Weddell,1612,0.07057064771652222,0.07273003458976746,0.04219731688499451,0.10959424823522568,0.08134191483259201,0.07839427143335342,0.16332435607910156,0.0541548877954483,0.15076598525047302,0.03902359679341316,0.012986833229660988,0.03596753627061844
ENV,2003,10,CCI_ENV,Indian,1329,0.030809687450528145,0.04639243334531784,0.02228853479027748,0.05725985765457153,0.04693259298801422,0.04959845170378685,0.11064211279153824,0.024587010964751244,0.10761363804340363,0.02645016647875309,0.006034671328961849,0.02567620947957039
ENV,2003,10,CCI_ENV,Western_Pacific,523,0.0806223452091217,0.11440842598676682,0.03745430335402489,0.10966749489307404,0.11646115034818649,0.06976371258497238,0.12088751792907715,0.03463089466094971,0.11131579428911209,0.02904514968395233,0.008677058853209019,0.02658267319202423
ENV,2003,10,CCI_ENV,Ross,1099,0.06539968401193619,0.07573278248310089,0.048389192670583725,0.1046452522277832,0.07783402502536774,0.09002865105867386,0.16548499464988708,0.05037076398730278,0.17656472325325012,0.03924556449055672,0.011745444498956203,0.04202013462781906
ENV,2003,10,CCI_ENV,Amundsen_Bellingshausen,887,0.07687271386384964,0.08134135603904724,0.0538257472217083,0.12191411107778549,0.0830567479133606,0.0987861379981041,0.1876431256532669,0.04661665856838226,0.1866176575422287,0.04504140093922615,0.011148623190820217,0.04472217708826065
ENV,2003,10,LEGOS_ENV,Western_Weddell,479,0.10538756847381592,0.08210615068674088,0.09349319338798523,0.13652019202709198,0.08820874989032745,0.12244424968957901,0.1419074833393097,0.07865548878908157,0.13112038373947144,0.030263280496001244,0.016774119809269905,0.0279628187417984
ENV,2003,10,LEGOS_ENV,Eastern_Weddell,1612,0.08497349917888641,0.07423089444637299,0.07211676239967346,0.11018673330545425,0.07813818007707596,0.09329540282487869,0.12753979861736298,0.07698040455579758,0.11270064115524292,0.027199219912290573,0.016416888684034348,0.024034619331359863
ENV,2003,10,LEGOS_ENV,Indian,1329,0.06415093690156937,0.0681789442896843,0.05876649543642998,0.07261364161968231,0.06129796430468559,0.06936949491500854,0.05416570231318474,0.03768187016248703,0.04809785634279251,0.01155141182243824,0.008036060258746147,0.010257381945848465
ENV,2003,10,LEGOS_ENV,Western_Pacific,523,0.1114557608962059,0.13618811964988708,0.07271302491426468,0.11743465065956116,0.12994606792926788,0.08245665580034256,0.059385206550359726,0.049033187329769135,0.04315052554011345,0.01266452670097351,0.010456847958266735,0.00920230895280838
ENV,2003,10,LEGOS_ENV,Ross,1099,0.08826983720064163,0.07434038817882538,0.07923421263694763,0.1086941659450531,0.07406183332204819,0.09925489872694016,0.10722741484642029,0.06583303958177567,0.0964045450091362,0.022867387160658836,0.014039596542716026,0.020559288561344147
ENV,2003,10,LEGOS_ENV,Amundsen_Bellingshausen,887,0.0964418575167656,0.08470473438501358,0.08586887270212173,0.13232465088367462,0.08153917640447617,0.12420891225337982,0.18310922384262085,0.09488975256681442,0.1845480501651764,0.039049990475177765,0.02023625187575817,0.039356835186481476
ENV,2004,5,CCI_ENV,Western_Weddell,529,0.13620616495609283,0.09769117832183838,0.11116917431354523,0.21196039021015167,0.1141386479139328,0.18175913393497467,0.3161870241165161,0.11733753979206085,0.30701690912246704,0.07575421035289764,0.0276650320738554,0.0735897496342659
ENV,2004,5,CCI_ENV,Eastern_Weddell,875,0.04435315728187561,0.04686308279633522,0.03676142543554306,0.08001485466957092,0.04892050474882126,0.06973151862621307,0.1487419754266739,0.048066217452287674,0.1381307691335678,0.03566170111298561,0.011465071700513363,0.032732635736465454
ENV,2004,5,CCI_ENV,Indian,381,0.06830984354019165,0.07818349450826645,0.048476483672857285,0.09043709188699722,0.07840786874294281,0.07150140404701233,0.09211284667253494,0.013025843538343906,0.09161081910133362,0.022127246484160423,0.0031723445281386375,0.021970808506011963
ENV,2004,5,CCI_ENV,Western_Pacific,336,0.10603997856378555,0.11826333403587341,0.06544169038534164,0.13482125103473663,0.1200457513332367,0.09440206736326218,0.12039869278669357,0.04383118078112602,0.10286542773246765,0.028781278058886528,0.010640943422913551,0.024447470903396606
ENV,2004,5,CCI_ENV,Ross,1003,0.058147672563791275,0.07052264362573624,0.03978922590613365,0.0910155400633812,0.07210192084312439,0.07332344353199005,0.13655374944210052,0.028528766706585884,0.13400183618068695,0.03286786749958992,0.006895733997225761,0.03260364755988121
ENV,2004,5,CCI_ENV,Amundsen_Bellingshausen,476,0.11328315734863281,0.11086318641901016,0.07432667165994644,0.14689616858959198,0.11353380978107452,0.10950082540512085,0.1399143487215042,0.03245203569531441,0.1357358992099762,0.03361302241683006,0.008154547773301601,0.03289308398962021
ENV,2004,5,LEGOS_ENV,Western_Weddell,529,0.14016808569431305,0.07436558604240417,0.13410858809947968,0.21229657530784607,0.08811494708061218,0.2114897519350052,0.3571523129940033,0.15039336681365967,0.3642699122428894,0.0724625289440155,0.03051326796412468,0.07390663027763367
ENV,2004,5,LEGOS_ENV,Eastern_Weddell,875,0.08613987267017365,0.055310122668743134,0.0831744521856308,0.10498353093862534,0.05756426230072975,0.10177779197692871,0.09719134122133255,0.07983388006687164,0.07020118832588196,0.01971912570297718,0.01619747467339039,0.014243103563785553
ENV,2004,5,LEGOS_ENV,Indian,381,0.08636917918920517,0.08129609376192093,0.071022167801857,0.09182427078485489,0.07940089702606201,0.07630988210439682,0.025885382667183876,0.012937282212078571,0.0254070982336998,0.0052518779411911964,0.0026248411741107702,0.005154840648174286
