era,year,month,sector,variable,spread,n_products,max_val,min_val
CS2,2013,6,Amundsen_Bellingshausen,hsc,0.015503931790590286,5,0.03934631496667862,0.023842383176088333
CS2,2013,6,Eastern_Weddell,hfr,0.05190274119377136,5,0.11451557278633118,0.06261283159255981
CS2,2013,6,Eastern_Weddell,hfi,0.06124812364578247,5,0.1644819974899292,0.10323387384414673
CS2,2013,6,Eastern_Weddell,hs,0.11161889880895615,5,0.22793342173099518,0.11631452292203903
CS2,2013,6,Eastern_Weddell,hsc,0.017277836799621582,5,0.04977201297879219,0.03249417617917061
CS2,2013,6,Indian,hfr,0.028095923364162445,5,0.0598457008600235,0.03174977749586105
CS2,2013,6,Indian,hfi,0.023902587592601776,5,0.07916823774576187,0.055265650153160095
CS2,2013,6,Indian,hs,0.038186684250831604,5,0.1123233288526535,0.0741366446018219
CS2,2013,6,Indian,hsc,0.0038159918040037155,5,0.024527156725525856,0.02071116492152214
CS2,2013,6,Ross,hfr,0.03990263491868973,5,0.0998334065079689,0.059930771589279175
CS2,2013,6,Ross,hfi,0.03889671713113785,5,0.1360042840242386,0.09710756689310074
CS2,2013,6,Ross,hs,0.05192387104034424,5,0.16689930856227875,0.11497543752193451
CS2,2013,6,Ross,hsc,0.005086250603199005,5,0.03720633313059807,0.03212008252739906
CS2,2013,6,Western_Pacific,hfr,0.050106726586818695,5,0.15490390360355377,0.10479717701673508
CS2,2013,6,Western_Pacific,hfi,0.05118362605571747,5,0.1886572688817978,0.13747364282608032
CS2,2013,6,Western_Pacific,hs,0.0589851438999176,5,0.1763538271188736,0.117368683218956
CS2,2013,6,Western_Pacific,hsc,0.0058325305581092834,5,0.03850899264216423,0.03267646208405495
CS2,2013,6,Western_Weddell,hfr,0.07694948464632034,5,0.16573873162269592,0.08878924697637558
CS2,2013,6,Western_Weddell,hfi,0.059773653745651245,5,0.22962874174118042,0.16985508799552917
CS2,2013,6,Western_Weddell,hs,0.1756957471370697,5,0.34051766991615295,0.16482192277908325
CS2,2013,6,Western_Weddell,hsc,0.03603572025895119,5,0.08106708526611328,0.045031365007162094
CS2,2013,7,Amundsen_Bellingshausen,hfr,0.039051104336977005,5,0.08383867889642715,0.04478757455945015
CS2,2013,7,Amundsen_Bellingshausen,hfi,0.02514529973268509,5,0.1144857257604599,0.08934042602777481
CS2,2013,7,Amundsen_Bellingshausen,hs,0.07744202762842178,5,0.18714462220668793,0.10970259457826614
CS2,2013,7,Amundsen_Bellingshausen,hsc,0.014021690934896469,5,0.04466872662305832,0.03064703568816185
CS2,2013,7,Eastern_Weddell,hfr,0.06001133844256401,5,0.11600657552480698,0.055995237082242966
CS2,2013,7,Eastern_Weddell,hfi,0.06292276084423065,5,0.16347849369049072,0.10055573284626007
CS2,2013,7,Eastern_Weddell,hs,0.08310063183307648,5,0.21719041466712952,0.13408978283405304
CS2,2013,7,Eastern_Weddell,hsc,0.009966190904378891,5,0.04742614924907684,0.03745995834469795
CS2,2013,7,Indian,hfr,0.0352851003408432,5,0.07110513001680374,0.03582002967596054
CS2,2013,7,Indian,hfi,0.037335433065891266,5,0.09983093291521072,0.06249549984931946
CS2,2013,7,Indian,hs,0.06174776703119278,5,0.16511957347393036,0.10337180644273758
CS2,2013,7,Indian,hsc,0.009380387142300606,5,0.036055855453014374,0.026675468310713768
CS2,2013,7,Ross,hfr,0.04234827309846878,5,0.10786442458629608,0.0655161514878273
CS2,2013,7,Ross,hfi,0.031825579702854156,5,0.14161279797554016,0.109787218272686
CS2,2013,7,Ross,hs,0.07012832164764404,5,0.18596096336841583,0.11583264172077179
CS2,2013,7,Ross,hsc,0.011936325579881668,5,0.04429588466882706,0.03235955908894539
CS2,2013,7,Western_Pacific,hfr,0.06159990280866623,5,0.154829740524292,0.09322983771562576
