era,product,sector,variable,multiyear_mean,multiyear_std,n_years
CS2,CryoTEMPO_CS2,Ross,hfi,0.09678677779932816,0.007370190325339957,6
CS2,CryoTEMPO_CS2,Ross,hfr,0.05553651559684012,0.0073855318787304355,6
CS2,CryoTEMPO_CS2,Ross,hs,0.17327204305264687,0.000965725817808202,6
CS2,CryoTEMPO_CS2,Ross,hsc,0.04125026303033034,0.00022990684137156548,6
CS2,CryoTEMPO_CS2,Western_Pacific,hfi,0.11882717493507598,0.011209552281759445,6
CS2,CryoTEMPO_CS2,Western_Pacific,hfr,0.08785646201835738,0.0112581529651124,6
CS2,CryoTEMPO_CS2,Western_Pacific,hs,0.130092714395788,0.0017467411905049044,6
CS2,CryoTEMPO_CS2,Western_Pacific,hsc,0.030970712864978447,0.00041584036589467405,6
CS2,CryoTEMPO_CS2,Western_Weddell,hfi,0.17060751240286562,0.011163669499235836,6
CS2,CryoTEMPO_CS2,Western_Weddell,hfr,0.09835225302312108,0.010840216334814865,6
CS2,CryoTEMPO_CS2,Western_Weddell,hs,0.30350876309805447,0.002080622031565656,6
CS2,CryoTEMPO_CS2,Western_Weddell,hsc,0.0722552589658234,0.0004953259712321141,6
CS2,LEGOS_II_CS2,Amundsen_Bellingshausen,hfi,0.14250676934089926,0.011275304061359343,6
CS2,LEGOS_II_CS2,Amundsen_Bellingshausen,hfr,0.1112399875289864,0.008696991028483281,6
CS2,LEGOS_II_CS2,Amundsen_Bellingshausen,hs,0.17224777821037504,0.011343811138736332,6
CS2,LEGOS_II_CS2,Amundsen_Bellingshausen,hsc,0.037053067392359175,0.002409444527969879,6
CS2,LEGOS_II_CS2,Eastern_Weddell,hfi,0.14386490939391985,0.020653826968190285,6
CS2,LEGOS_II_CS2,Eastern_Weddell,hfr,0.1037129115106331,0.018084297157743706,6
CS2,LEGOS_II_CS2,Eastern_Weddell,hs,0.17954940473039946,0.010141005908303195,6
CS2,LEGOS_II_CS2,Eastern_Weddell,hsc,0.03861885693752103,0.0021876346367623984,6
CS2,LEGOS_II_CS2,Indian,hfi,0.09100136967996757,0.004318984702607499,6
CS2,LEGOS_II_CS2,Indian,hfr,0.0649248052181469,0.002961903449068864,6
CS2,LEGOS_II_CS2,Indian,hs,0.16345558853613004,0.011699257207544616,6
CS2,LEGOS_II_CS2,Indian,hsc,0.03517372290500336,0.0025081846478621204,6
CS2,LEGOS_II_CS2,Ross,hfi,0.12789719634585908,0.01355459147102012,6
CS2,LEGOS_II_CS2,Ross,hfr,0.09319457484202254,0.012620536924161315,6
CS2,LEGOS_II_CS2,Ross,hs,0.15751707181334493,0.0064729556480994516,6
CS2,LEGOS_II_CS2,Ross,hsc,0.033880538824531764,0.001391009734347213,6
CS2,LEGOS_II_CS2,Western_Pacific,hfi,0.1361996281064219,0.021554385929802522,6
CS2,LEGOS_II_CS2,Western_Pacific,hfr,0.12001236859295104,0.0191737746750969,6
CS2,LEGOS_II_CS2,Western_Pacific,hs,0.20053400927119788,0.03505835549317449,6
CS2,LEGOS_II_CS2,Western_Pacific,hsc,0.04310478140703506,0.007511850151702446,6
CS2,LEGOS_II_CS2,Western_Weddell,hfi,0.2432134689556228,0.027052453618924586,6
CS2,LEGOS_II_CS2,Western_Weddell,hfr,0.18023349800043634,0.020353850530605226,6
CS2,LEGOS_II_CS2,Western_Weddell,hs,0.2374482258326477,0.017044173967048767,6
CS2,LEGOS_II_CS2,Western_Weddell,hsc,0.05107997564805878,0.0036518841679636276,6
CS2,LEGOS_I_CS2,Amundsen_Bellingshausen,hfi,0.1464563695092996,0.009994448579228802,6
CS2,LEGOS_I_CS2,Amundsen_Bellingshausen,hfr,0.1112399875289864,0.008696991028483281,6
CS2,LEGOS_I_CS2,Amundsen_Bellingshausen,hs,0.17759652601348028,0.016246246905996638,6
CS2,LEGOS_I_CS2,Amundsen_Bellingshausen,hsc,0.03826835254828135,0.003469302228442663,6
CS2,LEGOS_I_CS2,Eastern_Weddell,hfi,0.1418817980835835,0.02399512006890351,6
