reference,sector,variable,spread_A,spread_B,spread_C,spread_D,reduction_B_pct,reduction_C_pct,reduction_D_pct
CCI,Western_Weddell,hfr,0.08227343652608363,0.08227343652608363,0.08227343652608363,0.08227343652608363,0.0,0.0,0.0
CCI,Western_Weddell,hsc,0.04081898288100139,0.03562183239611248,0.012185165511712108,0.0,12.73219006960569,70.14828726321959,100.0
CCI,Western_Weddell,hfi,0.09849657509003863,0.09423543061822931,0.08622481921808417,0.08227343652608363,4.326185421080971,12.459068613031963,16.470764134818854
CCI,Eastern_Weddell,hfr,0.056209383137329226,0.056209383137329226,0.056209383137329226,0.056209383137329226,0.0,0.0,0.0
CCI,Eastern_Weddell,hsc,0.020900514608712045,0.01822708789579466,0.0070491830085666375,0.0,12.791200422419308,66.27268208205601,100.0
CCI,Eastern_Weddell,hfi,0.06290716633049294,0.059447815833540224,0.058944088627478276,0.05621476791736419,5.499135788088847,6.2998827227314536,10.63853103471416
CCI,Indian,hfr,0.0340437453825861,0.0340437453825861,0.0340437453825861,0.0340437453825861,0.0,0.0,0.0
CCI,Indian,hsc,0.02128240282713737,0.01778005941689896,0.004351649807541818,0.0,16.456522502114016,79.55282661038164,100.0
CCI,Indian,hfi,0.04075283937227484,0.038201469311793454,0.03508845233113643,0.0340437453825861,6.260594598513173,13.899367819244599,16.46288723198291
CCI,Western_Pacific,hfr,0.04096033887750989,0.04096033887750989,0.04096033887750989,0.04096033887750989,0.0,0.0,0.0
CCI,Western_Pacific,hsc,0.02852519302520256,0.024092334658229148,0.005199067391662111,0.0,15.540152044043648,81.77376963910942,100.0
CCI,Western_Pacific,hfi,0.052555916307125666,0.05052835864594212,0.0425813156690316,0.04096033887750989,3.857905643457772,18.979025272444318,22.06331512108679
CCI,Ross,hfr,0.04103916535088279,0.04103916535088279,0.04103916535088279,0.04103916535088279,0.0,0.0,0.0
CCI,Ross,hsc,0.022659317427606233,0.019935120410592883,0.006925322177218989,0.0,12.022414292561233,69.43719862990335,100.0
CCI,Ross,hfi,0.044194248939637214,0.04092559263632364,0.044186811630359445,0.041039165350882784,7.396112348867089,0.016828681233902968,7.139127068464962
CCI,Amundsen_Bellingshausen,hfr,0.047625479177276275,0.047625479177276275,0.047625479177276275,0.047625479177276275,0.0,0.0,0.0
CCI,Amundsen_Bellingshausen,hsc,0.02260855544775544,0.020009953066774038,0.0070776580392765305,0.0,11.49388950119495,68.69477992244217,100.0
CCI,Amundsen_Bellingshausen,hfi,0.051304446464507415,0.04827739634919459,0.05062755427865079,0.047625479177276275,5.900171084404835,1.3193635883488253,7.1708546544328495
LEGOS_II,Western_Weddell,hfr,0.08227343652608363,0.08227343652608363,0.08227343652608363,0.08227343652608363,0.0,0.0,0.0
