sector,variable,spread_A,spread_B,spread_C,spread_D,reduction_B_pct,reduction_C_pct,reduction_D_pct,residual_D
Western_Weddell,hfr,0.08227343743460046,0.08227343743460046,0.08227343743460046,0.08227343743460046,0.0,0.0,0.0,0.08227343743460046
Eastern_Weddell,hfr,0.05620938213542104,0.05620938213542104,0.05620938213542104,0.05620938213542104,0.0,0.0,0.0,0.05620938213542104
Indian,hfr,0.0340437452476989,0.0340437452476989,0.0340437452476989,0.0340437452476989,0.0,0.0,0.0,0.0340437452476989
Western_Pacific,hfr,0.040960337656239666,0.040960337656239666,0.040960337656239666,0.040960337656239666,0.0,0.0,0.0,0.040960337656239666
Ross,hfr,0.04103916397111283,0.04103916397111283,0.04103916397111283,0.04103916397111283,0.0,0.0,0.0,0.04103916397111283
Amundsen_Bellingshausen,hfr,0.047625477658584714,0.047625477658584714,0.047625477658584714,0.047625477658584714,0.0,0.0,0.0,0.047625477658584714
Western_Weddell,hsc,0.040818981205423675,0.03562183150400718,0.012185161519381735,0.0,12.732188672866581,70.14829581841039,100.0,0.0
Eastern_Weddell,hsc,0.02090051371811165,0.01822708748901884,0.007049181912508275,0.0,12.7911986525772,66.27268588905687,100.0,0.0
Indian,hsc,0.021282401401549578,0.01778005904311107,0.004351648088130686,0.0,16.456518662332435,79.55283331976888,100.0,0.0
Western_Pacific,hsc,0.02852519229054451,0.02409233571961522,0.005199066208054622,0.0,15.540146147932141,81.77377331903911,100.0,0.0
Ross,hsc,0.022659316555493407,0.01993511989712715,0.006925319735374715,0.0,12.022413172500631,69.43720822993765,100.0,0.0
Amundsen_Bellingshausen,hsc,0.02260855430116256,0.020009953373422224,0.007077655961943997,0.0,11.49388365627037,68.6947875230569,100.0,0.0
Western_Weddell,hfi,0.09849657408065265,0.09423542767763138,0.08622482046484947,0.08227343898680475,4.326187426104883,12.459066450123043,16.470760780536178,0.08227343898680475
Eastern_Weddell,hfi,0.06290716760688358,0.059447815331319966,0.05894408685465654,0.05621476761168904,5.499138503869123,6.299887442068505,10.638533333779018,0.05621476761168904
Indian,hfi,0.04075284100448092,0.038201469307144485,0.03508845085485114,0.03404374415468839,6.260598364310117,13.899374890224117,16.46289359079246,0.03404374415468839
Western_Pacific,hfi,0.05255591538217333,0.05052835835764805,0.04258131297926108,0.040960336621436805,3.8579044999623635,18.979028964445703,22.063318042158354,0.040960336621436805
Ross,hfi,0.04419424674577183,0.040925594667593636,0.04418680858280924,0.04103916614419884,7.396103155646422,0.01683061373436563,7.139120663652547,0.04103916614419884
Amundsen_Bellingshausen,hfi,0.05130444591244062,0.048277396191325456,0.05062755404247178,0.047625480530162655,5.900170379544332,1.3193629868336654,7.170851018558349,0.047625480530162655
