reference,year,month,item,value
CCI,2013,8,ref_hs_source,NPZ:CCI_CS2
CCI,2013,8,ref_hs_hash,e8bd67824f18
CCI,2013,8,ref_hs_summary,n=6920 mean=0.1764 std=0.0808
CCI,2013,8,caseD_hfi_hash_CCI_CS2,cd71a9e898cf
CCI,2013,9,ref_hs_source,NPZ:CCI_CS2
CCI,2013,9,ref_hs_hash,d8798046013f
CCI,2013,9,ref_hs_summary,n=7087 mean=0.1674 std=0.0689
CCI,2013,9,caseD_hfi_hash_CCI_CS2,46b2e0d566cd
CCI,2013,10,ref_hs_source,NPZ:CCI_CS2
CCI,2013,10,ref_hs_hash,a2aa9883db02
CCI,2013,10,ref_hs_summary,n=5979 mean=0.1576 std=0.0609
CCI,2013,10,caseD_hfi_hash_CCI_CS2,94c79a56f589
CCI,2014,5,ref_hs_source,NPZ:CCI_CS2
CCI,2014,5,ref_hs_hash,fb478f11b10b
CCI,2014,5,ref_hs_summary,n=4309 mean=0.1529 std=0.0843
CCI,2014,5,caseD_hfi_hash_CCI_CS2,8f4aacc77eaf
CCI,2014,6,ref_hs_source,NPZ:CCI_CS2
CCI,2014,6,ref_hs_hash,d956a68142ec
CCI,2014,6,ref_hs_summary,n=5563 mean=0.1622 std=0.0823
CCI,2014,6,caseD_hfi_hash_CCI_CS2,33073a59aea7
CCI,2014,7,ref_hs_source,NPZ:CCI_CS2
CCI,2014,7,ref_hs_hash,d2e061c5cb77
CCI,2014,7,ref_hs_summary,n=6474 mean=0.1731 std=0.0797
CCI,2014,7,caseD_hfi_hash_CCI_CS2,4814898e85a2
CCI,2014,8,ref_hs_source,NPZ:CCI_CS2
CCI,2014,8,ref_hs_hash,8044e62253a8
CCI,2014,8,ref_hs_summary,n=6923 mean=0.1760 std=0.0805
CCI,2014,8,caseD_hfi_hash_CCI_CS2,801aae881e05
CCI,2014,9,ref_hs_source,NPZ:CCI_CS2
CCI,2014,9,ref_hs_hash,8a7749830063
CCI,2014,9,ref_hs_summary,n=7095 mean=0.1676 std=0.0688
CCI,2014,9,caseD_hfi_hash_CCI_CS2,c9d49dc062fe
CCI,2014,10,ref_hs_source,NPZ:CCI_CS2
CCI,2014,10,ref_hs_hash,a401d334f198
CCI,2014,10,ref_hs_summary,n=6853 mean=0.1582 std=0.0615
CCI,2014,10,caseD_hfi_hash_CCI_CS2,3e5d8d54b014
CCI,2015,5,ref_hs_source,NPZ:CCI_CS2
CCI,2015,5,ref_hs_hash,f38e01008ff1
CCI,2015,5,ref_hs_summary,n=4253 mean=0.1530 std=0.0847
CCI,2015,5,caseD_hfi_hash_CCI_CS2,cd581aa23e44
CCI,2015,6,ref_hs_source,NPZ:CCI_CS2
CCI,2015,6,ref_hs_hash,025bdbf18159
CCI,2015,6,ref_hs_summary,n=5537 mean=0.1624 std=0.0821
CCI,2015,6,caseD_hfi_hash_CCI_CS2,c639bcf8cec5
CCI,2015,7,ref_hs_source,NPZ:CCI_CS2
CCI,2015,7,ref_hs_hash,342d296855fc
CCI,2015,7,ref_hs_summary,n=6457 mean=0.1741 std=0.0796
CCI,2015,7,caseD_hfi_hash_CCI_CS2,78eeb788174e
CCI,2015,8,ref_hs_source,NPZ:CCI_CS2
