case,year,month,product,sector,n_cells,hfr_mean,hsc_mean,hfi_mean
B,2013,5,LEGOS_II_CS2,Ross,1018,0.09222671389579773,0.03576035052537918,0.12895041704177856
B,2013,5,LEGOS_II_CS2,Amundsen_Bellingshausen,343,0.08182237297296524,0.03164692223072052,0.11387535184621811
C,2013,5,LEGOS_II_CS2,Western_Weddell,479,0.15903449058532715,0.08307693898677826,0.2421114295721054
C,2013,5,LEGOS_II_CS2,Eastern_Weddell,759,0.09459974616765976,0.037643518298864365,0.13224327564239502
C,2013,5,LEGOS_II_CS2,Indian,350,0.04979049041867256,0.023114968091249466,0.07290545105934143
C,2013,5,LEGOS_II_CS2,Western_Pacific,332,0.15306442975997925,0.03123149462044239,0.1842959225177765
C,2013,5,LEGOS_II_CS2,Ross,1018,0.09222671389579773,0.03493945300579071,0.12716616690158844
C,2013,5,LEGOS_II_CS2,Amundsen_Bellingshausen,343,0.08182237297296524,0.037004727870225906,0.11882709711790085
D,2013,5,LEGOS_II_CS2,Western_Weddell,479,0.15903449058532715,0.07770287990570068,0.23673737049102783
D,2013,5,LEGOS_II_CS2,Eastern_Weddell,759,0.09459974616765976,0.03520844131708145,0.1298082023859024
D,2013,5,LEGOS_II_CS2,Indian,350,0.04979049041867256,0.021619711071252823,0.07141020148992538
D,2013,5,LEGOS_II_CS2,Western_Pacific,332,0.15306442975997925,0.029211198911070824,0.18227563798427582
D,2013,5,LEGOS_II_CS2,Ross,1018,0.09222671389579773,0.032679297029972076,0.1249060109257698
D,2013,5,LEGOS_II_CS2,Amundsen_Bellingshausen,343,0.08182237297296524,0.03461097180843353,0.11643333733081818
A,2013,5,CSAO_CS2,Western_Weddell,479,0.14206548035144806,0.03882623463869095,0.1808917075395584
A,2013,5,CSAO_CS2,Eastern_Weddell,759,0.09330175817012787,0.02971835620701313,0.12302011996507645
A,2013,5,CSAO_CS2,Indian,350,0.07035656273365021,0.016370223835110664,0.08672679215669632
A,2013,5,CSAO_CS2,Western_Pacific,332,0.1238694116473198,0.02626376785337925,0.1501331776380539
A,2013,5,CSAO_CS2,Ross,1018,0.10171879827976227,0.025114726275205612,0.12683352828025818
A,2013,5,CSAO_CS2,Amundsen_Bellingshausen,343,0.08477762341499329,0.019317109137773514,0.1040947362780571
B,2013,5,CSAO_CS2,Western_Weddell,479,0.14206548035144806,0.036314647644758224,0.1783801168203354
B,2013,5,CSAO_CS2,Eastern_Weddell,759,0.09330175817012787,0.02779594250023365,0.12109769880771637
B,2013,5,CSAO_CS2,Indian,350,0.07035656273365021,0.015311267226934433,0.08566784113645554
B,2013,5,CSAO_CS2,Western_Pacific,332,0.1238694116473198,0.024564823135733604,0.14843423664569855
B,2013,5,CSAO_CS2,Ross,1018,0.10171879827976227,0.02349010668694973,0.12520891427993774
