case,year,month,sector,variable,spread,n_products
A,2013,10,Amundsen_Bellingshausen,hsc,0.023452747613191605,5
A,2013,10,Eastern_Weddell,hfi,0.13418838381767273,5
A,2013,10,Eastern_Weddell,hfr,0.10026156902313232,5
A,2013,10,Eastern_Weddell,hsc,0.03211978077888489,5
A,2013,10,Indian,hfi,0.08223816752433777,5
A,2013,10,Indian,hfr,0.07109568966552615,5
A,2013,10,Indian,hsc,0.03291156888008118,5
A,2013,10,Ross,hfi,0.06089078634977341,5
A,2013,10,Ross,hfr,0.04633183032274246,5
A,2013,10,Ross,hsc,0.014713902026414871,5
A,2013,10,Western_Pacific,hfi,0.09839165955781937,5
A,2013,10,Western_Pacific,hfr,0.0898812860250473,5
A,2013,10,Western_Pacific,hsc,0.035328883677721024,5
A,2013,10,Western_Weddell,hfi,0.1810368150472641,5
A,2013,10,Western_Weddell,hfr,0.12377898395061493,5
A,2013,10,Western_Weddell,hsc,0.027501143515110016,5
A,2014,5,Amundsen_Bellingshausen,hfi,0.01816628873348236,5
A,2014,5,Amundsen_Bellingshausen,hfr,0.03157736733555794,5
A,2014,5,Amundsen_Bellingshausen,hsc,0.01692797802388668,5
A,2014,5,Eastern_Weddell,hfi,0.036354027688503265,5
A,2014,5,Eastern_Weddell,hfr,0.043080344796180725,5
A,2014,5,Eastern_Weddell,hsc,0.021649613976478577,5
A,2014,5,Indian,hfi,0.028335832059383392,5
A,2014,5,Indian,hfr,0.034814514219760895,5
A,2014,5,Indian,hsc,0.011794555932283401,5
A,2014,5,Ross,hfi,0.02820476144552231,5
A,2014,5,Ross,hfr,0.030091453343629837,5
A,2014,5,Ross,hsc,0.01576210930943489,5
A,2014,5,Western_Pacific,hfi,0.038347028195858,5
A,2014,5,Western_Pacific,hfr,0.035316430032253265,5
A,2014,5,Western_Pacific,hsc,0.016057325527071953,5
A,2014,5,Western_Weddell,hfi,0.12061554193496704,5
A,2014,5,Western_Weddell,hfr,0.09670688211917877,5
A,2014,5,Western_Weddell,hsc,0.06083061173558235,5
A,2014,6,Amundsen_Bellingshausen,hfi,0.04385213553905487,5
A,2014,6,Amundsen_Bellingshausen,hfr,0.04648954048752785,5
A,2014,6,Amundsen_Bellingshausen,hsc,0.016067802906036377,5
A,2014,6,Eastern_Weddell,hfi,0.05577368289232254,5
A,2014,6,Eastern_Weddell,hfr,0.04261239245533943,5
A,2014,6,Eastern_Weddell,hsc,0.02120674028992653,5
A,2014,6,Indian,hfi,0.02206173539161682,5
A,2014,6,Indian,hfr,0.02291141077876091,5
A,2014,6,Indian,hsc,0.016926327720284462,5
A,2014,6,Ross,hfi,0.04590201377868652,5
A,2014,6,Ross,hfr,0.041177958250045776,5
A,2014,6,Ross,hsc,0.018587369471788406,5
A,2014,6,Western_Pacific,hfi,0.04893941432237625,5
A,2014,6,Western_Pacific,hfr,0.03528008610010147,5
A,2014,6,Western_Pacific,hsc,0.022906120866537094,5
A,2014,6,Western_Weddell,hfi,0.12022586166858673,5
A,2014,6,Western_Weddell,hfr,0.08249383419752121,5
A,2014,6,Western_Weddell,hsc,0.06765414774417877,5
A,2014,7,Amundsen_Bellingshausen,hfi,0.04321102797985077,5
A,2014,7,Amundsen_Bellingshausen,hfr,0.04571348801255226,5
A,2014,7,Amundsen_Bellingshausen,hsc,0.015629924833774567,5
A,2014,7,Eastern_Weddell,hfi,0.07931837439537048,5
A,2014,7,Eastern_Weddell,hfr,0.058696869760751724,5
A,2014,7,Eastern_Weddell,hsc,0.03040788322687149,5
A,2014,7,Indian,hfi,0.03071928769350052,5
A,2014,7,Indian,hfr,0.024675756692886353,5
A,2014,7,Indian,hsc,0.018543345853686333,5
A,2014,7,Ross,hfi,0.05995149165391922,5
A,2014,7,Ross,hfr,0.044487908482551575,5
A,2014,7,Ross,hsc,0.032135121524333954,5
A,2014,7,Western_Pacific,hfi,0.044223085045814514,5
A,2014,7,Western_Pacific,hfr,0.03349795937538147,5
A,2014,7,Western_Pacific,hsc,0.016811128705739975,5
A,2014,7,Western_Weddell,hfi,0.1261090338230133,5
A,2014,7,Western_Weddell,hfr,0.07744494825601578,5
A,2014,7,Western_Weddell,hsc,0.07009289041161537,5
A,2014,8,Amundsen_Bellingshausen,hfi,0.05190287530422211,5
A,2014,8,Amundsen_Bellingshausen,hfr,0.05125361680984497,5
A,2014,8,Amundsen_Bellingshausen,hsc,0.020603451877832413,5
A,2014,8,Eastern_Weddell,hfi,0.08819334208965302,5
A,2014,8,Eastern_Weddell,hfr,0.06659624725580215,5
A,2014,8,Eastern_Weddell,hsc,0.0312795490026474,5
A,2014,8,Indian,hfi,0.02927807718515396,5
A,2014,8,Indian,hfr,0.02812858670949936,5
A,2014,8,Indian,hsc,0.013770440593361855,5
A,2014,8,Ross,hfi,0.060723960399627686,5
A,2014,8,Ross,hfr,0.05110287666320801,5
A,2014,8,Ross,hsc,0.029414493590593338,5
A,2014,8,Western_Pacific,hfi,0.04660327732563019,5
A,2014,8,Western_Pacific,hfr,0.036055922508239746,5
A,2014,8,Western_Pacific,hsc,0.0193774551153183,5
A,2014,8,Western_Weddell,hfi,0.10996986925601959,5
A,2014,8,Western_Weddell,hfr,0.06937748193740845,5
A,2014,8,Western_Weddell,hsc,0.05828709155321121,5
A,2014,9,Amundsen_Bellingshausen,hfi,0.04968613386154175,5
A,2014,9,Amundsen_Bellingshausen,hfr,0.045987650752067566,5
A,2014,9,Amundsen_Bellingshausen,hsc,0.022977236658334732,5
A,2014,9,Eastern_Weddell,hfi,0.09033205360174179,5
A,2014,9,Eastern_Weddell,hfr,0.07284393161535263,5
A,2014,9,Eastern_Weddell,hsc,0.019742581993341446,5
A,2014,9,Indian,hfi,0.04129153490066528,5
A,2014,9,Indian,hfr,0.0274832621216774,5
A,2014,9,Indian,hsc,0.0213658157736063,5
A,2014,9,Ross,hfi,0.07791491597890854,5
A,2014,9,Ross,hfr,0.06724966317415237,5
A,2014,9,Ross,hsc,0.019007395952939987,5
A,2014,9,Western_Pacific,hfi,0.03990418463945389,5
A,2014,9,Western_Pacific,hfr,0.038755424320697784,5
A,2014,9,Western_Pacific,hsc,0.023666763678193092,5
A,2014,9,Western_Weddell,hfi,0.10394437611103058,5
A,2014,9,Western_Weddell,hfr,0.06496787816286087,5
A,2014,9,Western_Weddell,hsc,0.050215501338243484,5
A,2014,10,Amundsen_Bellingshausen,hfi,0.08321303129196167,5
A,2014,10,Amundsen_Bellingshausen,hfr,0.06976666301488876,5
A,2014,10,Amundsen_Bellingshausen,hsc,0.030308067798614502,5
A,2014,10,Eastern_Weddell,hfi,0.11243986338376999,5
